종목코드,종목명,종가,대비,등락률,순자산가치(NAV),시가,고가,저가,거래량,거래대금,시가총액,순자산총액,상장좌수,기초지수_지수명,기초지수_종가,기초지수_대비,기초지수_등락률
"483330","ACE 마이크로소프트밸류체인액티브","13035","200","1.56","12981.59","13150","13150","12875","173357","2255639700","23463000000","0","1800000","KEDI 글로벌생성형AI 지수","4450.78","0.00","0.00"
"487340","ACE 머니마켓액티브","103670","10","0.01","103668.36","103650","103670","103650","34696","3596513850","256894260000","0","2478000","MK-KAP 머니마켓 총수익지수","117.56","0.02","0.02"
"291130","ACE 멕시코MSCI(합성)","14605","20","0.14","14664.48","14585","14620","14570","721","10524865","13144500000","0","900000","MSCI MEXICO IMI 25/50 Price return Index","11499.44","-77.69","-0.67"
"452250","ACE 미국30년국채선물레버리지(합성 H)","5245","65","1.25","5242.65","5230","5250","5215","212605","1112784107","75790250000","0","14450000","S&P Ultra T-Bond Futures Index(ER)","107.17","0.23","0.22"
"476760","ACE 미국30년국채액티브","9345","80","0.86","9318.99","9310","9360","9305","303944","2834779804","269136000000","0","28800000","Bloomberg U.S Treasury 20+ Year Total Return Index","563.40","0.94","0.17"
"453850","ACE 미국30년국채액티브(H)","7545","60","0.80","7521.28","7525","7550","7525","1826581","13767189584","2218230000000","0","294000000","Bloomberg U.S Treasury 20+ Year Total Return Index","563.40","0.94","0.17"
"476750","ACE 미국30년국채엔화노출액티브(H)","8635","65","0.76","8611.62","8640","8665","8625","236965","2049613290","112255000000","0","13000000","Bloomberg U.S. Treasury 20+ Year Total Return Index T1530 JPY Currency Hedged","107.44","-0.04","-0.04"
"480030","ACE 미국500데일리타겟커버드콜(합성)","10125","65","0.65","10131.10","10080","10145","10080","180793","1829068066","160987500000","0","15900000","Bloomberg US 500 Large Cap Premium Decrement 15% Distribution Index","1086.11","-0.12","-0.01"
"280320","ACE 미국IT인터넷S&P(합성 H)","20895","240","1.16","20982.96","20830","20895","20830","337","7020085","16716000000","0","800000","다우존스 인터넷 종합지수","1228.50","3.33","0.27"
"360200","ACE 미국S&P500","22110","165","0.75","22043.00","22030","22135","22025","771987","17043941145","2206578000000","0","99800000","S&P 500","6296.79","-0.57","-0.01"
"438080","ACE 미국S&P500채권혼합액티브","13015","50","0.39","13013.01","12965","13020","12965","203760","2646847563","383942500000","0","29500000","S&P500 and Short-Term Treasury 30/70 Blend Index","195.47","0.04","0.02"
"309230","ACE 미국WideMoat동일가중","27260","335","1.24","27221.69","27200","27300","27165","44253","1204444491","147749200000","0","5420000","MorningStar Wide Moat Focus Index","14615.95","-45.91","-0.31"
"367380","ACE 미국나스닥100","24605","185","0.76","24543.50","24525","24635","24505","517532","12710511439","1660837500000","0","67500000","NASDAQ 100","23065.47","-15.58","-0.07"
"438100","ACE 미국나스닥100채권혼합액티브","13695","55","0.40","13678.80","13660","13700","13625","134340","1836416115","227337000000","0","16600000","NASDAQ-100 US T-Bills 30/70 Index","1832.80","0.00","0.00"
"456880","ACE 미국달러SOFR금리(합성)","11740","15","0.13","11728.42","11715","11750","11705","84580","991599641","239261200000","0","20380000","Solactive SOFR Daily Total Return Index","1203.25","0.14","0.01"
"440650","ACE 미국달러단기채권액티브","11620","15","0.13","11608.35","11615","11630","11585","33555","389391845","17430000000","0","1500000","Bloomberg Short-Term Treasury Total Return Index","146.80","0.04","0.03"
"480040","ACE 미국반도체데일리타겟커버드콜(합성)","9980","80","0.81","9987.95","9865","9980","9865","159459","1586697225","91816000000","0","9200000","Bloomberg US Listed Semiconductor Premium Decrement 15% Distribution Index","1329.26","0.25","0.02"
"402970","ACE 미국배당다우존스","12230","105","0.87","12221.45","12210","12255","12205","460916","5636648500","655528000000","0","53600000","Dow Jones U.S. Dividend 100 Price Return Index","5728.33","-25.19","-0.44"
"0046Y0","ACE 미국배당퀄리티","10800","70","0.65","10773.10","10760","10845","10730","19926","214663870","35640000000","0","3300000","WisdomTree U.S. Quality Dividend Growth Index (Price Return)","704.67","-2.28","-0.32"
"0049M0","ACE 미국배당퀄리티+커버드콜액티브","10545","85","0.81","10532.18","10500","10550","10500","77574","816407041","21617250000","0","2050000","Bloomberg WisdomTree U.S. Quality Dividend & B500 Premium Decrement 50:50 Index","1206.69","-2.01","-0.17"
"0049K0","ACE 미국배당퀄리티채권혼합50","10385","50","0.48","10382.00","10355","10400","10355","9279","96319306","15577500000","0","1500000","Bloomberg WisdomTree U.S. Quality Dividend & Short Term KRW Bonds 50:50 TR Index","1818.70","4.30","0.24"
"181480","ACE 미국부동산리츠(합성 H)","82340","60","0.07","82171.91","82340","82640","82340","94","7755335","9880800000","0","120000","Dow Jones U.S. Real Estate Index","1780.65","0.00","0.00"
"480020","ACE 미국빅테크7+데일리타겟커버드콜(합성)","10945","40","0.37","11020.05","10915","10970","10915","223257","2441571316","184970500000","0","16900000","Bloomberg US Big Tech Top 7 Plus Premium Decrement 15% Distribution Index","1790.61","3.52","0.20"
"465580","ACE 미국빅테크TOP7 Plus","18835","45","0.24","18787.74","18800","18870","18765","1065563","20035224133","738332000000","0","39200000","Solactive US Big Tech Top 7 Plus Price Return Index","30707.35","135.83","0.44"
"465610","ACE 미국빅테크TOP7 Plus레버리지(합성)","28560","240","0.85","28461.48","28545","28650","28315","38975","1109719674","111384000000","0","3900000","Solactive US Big Tech Top 7 Plus Price Return Index","30707.35","135.83","0.44"
"465620","ACE 미국빅테크TOP7 Plus인버스(합성)","9160","-35","-0.38","9137.21","9180","9195","9150","526","4827355","2290000000","0","250000","Solactive US Big Tech Top 7 Plus Price Return Index","30707.35","135.83","0.44"
